schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,wheel,schedule_type,trial
0.05,15,0.013404825737265416,0.002783402999966711,0.9333333333333333,0.9375,0.39499553172475427,mod30,deterministic,-1
0.1,30,0.02680965147453083,0.0049319249999371095,0.9333333333333333,0.9444444444444444,0.1949955317247542,mod30,deterministic,-1
0.15,45,0.040214477211796246,0.001983794000125272,0.9111111111111111,0.9158549783549783,0.17706285373845698,mod30,deterministic,-1
0.2,60,0.05361930294906166,0.0018802500001129374,0.9333333333333333,0.9395833333333333,0.2545129579982127,mod30,deterministic,-1
0.25,75,0.06702412868632708,0.0017193599999245635,0.92,0.9197670521199933,0.2545129579982127,mod30,deterministic,-1
0.3,90,0.08042895442359249,0.0017377889998897444,0.9,0.9045283663704716,0.2545129579982127,mod30,deterministic,-1
0.35,105,0.0938337801608579,0.0017345859998840751,0.9047619047619048,0.9115649701176017,0.1947657347121154,mod30,deterministic,-1
0.39999999999999997,120,0.10723860589812333,0.00170872200010308,0.9083333333333333,0.9121041921041921,0.17117962466487935,mod30,deterministic,-1
0.44999999999999996,135,0.12064343163538874,0.0017042160000073636,0.9111111111111111,0.9138332715362748,0.150809254294509,mod30,deterministic,-1
0.49999999999999994,149,0.13315460232350312,0.001768302999835214,0.912751677852349,0.9163950829045169,0.18236560687574593,mod30,deterministic,-1
0.5499999999999999,164,0.14655942806076855,0.0017008449999593722,0.9207317073170732,0.9242805781056056,0.16607816212210377,mod30,deterministic,-1
0.6,179,0.15996425379803395,0.001762962999919182,0.9217877094972067,0.923591999398451,0.16369364107018938,mod30,deterministic,-1
0.65,194,0.17336907953529937,0.0017010789999858389,0.9226804123711341,0.9242930004186807,0.14105930368609673,mod30,deterministic,-1
0.7,209,0.1867739052725648,0.0021700540000892943,0.9186602870813397,0.9185518673872711,0.14542204890730362,mod30,deterministic,-1
0.75,224,0.20017873100983022,0.0018144799998935923,0.9196428571428571,0.9189151978739771,0.1495276394740202,mod30,deterministic,-1
0.7999999999999999,239,0.21358355674709562,0.0018078870000408642,0.9163179916317992,0.916239134542706,0.14041227784819826,mod30,deterministic,-1
0.85,254,0.22698838248436104,0.0018414430001030269,0.9094488188976378,0.9086285840596185,0.1323735337372373,mod30,deterministic,-1
0.9,269,0.24039320822162646,0.0018093339999722957,0.9070631970260223,0.9049245403138224,0.11036141536355812,mod30,deterministic,-1
0.95,284,0.2537980339588919,0.0018406160002086835,0.9084507042253521,0.9071297647102832,0.10475902780400007,mod30,deterministic,-1
1.0,298,0.26630920464700625,0.0018525730001783813,0.9060402684563759,0.9031874039938557,0.09511728472809494,mod30,deterministic,-1
0.05,15,0.013404825737265416,0.0021108329999606212,0.9333333333333333,0.95,0.6616621983914208,mod30,random_matched,0
0.1,30,0.02680965147453083,0.0016516860000592715,0.9666666666666667,0.96875,0.32904378909740833,mod30,random_matched,0
0.15,45,0.040214477211796246,0.0016954220000116038,0.9111111111111111,0.9068181818181819,0.0838844206136431,mod30,random_matched,0
0.2,60,0.05361930294906166,0.0020590500000707834,0.8833333333333333,0.8780663780663781,0.11215370866845395,mod30,random_matched,0
0.25,75,0.06702412868632708,0.0017932549999386538,0.88,0.8822624743677376,0.06548704200178726,mod30,random_matched,0
0.3,90,0.08042895442359249,0.0017107680000663095,0.8777777777777778,0.8857570806100219,0.07167113494191243,mod30,random_matched,0
0.35,105,0.0938337801608579,0.001635030999977971,0.8857142857142857,0.8930429864253393,0.1150006383250351,mod30,random_matched,0
0.39999999999999997,120,0.10723860589812333,0.00171074500008217,0.8916666666666667,0.8943576982228298,0.11215370866845395,mod30,random_matched,0
0.44999999999999996,135,0.12064343163538874,0.0016674470000452857,0.8666666666666667,0.8630605822187255,0.07478899811339487,mod30,random_matched,0
0.49999999999999994,149,0.13315460232350312,0.0016897840000638098,0.8657718120805369,0.8609537493158181,0.08642663931722355,mod30,random_matched,0
0.5499999999999999,164,0.14655942806076855,0.001657440000144561,0.8780487804878049,0.8757257756450063,0.06743826151398241,mod30,random_matched,0
0.6,179,0.15996425379803395,0.0016485259998262336,0.88268156424581,0.8799836074554473,0.07397866211351917,mod30,random_matched,0
0.65,194,0.17336907953529937,0.0016986480000014126,0.8762886597938144,0.8714303314313352,0.07950766055848832,mod30,random_matched,0
0.7,209,0.1867739052725648,0.0016993110000385059,0.8708133971291866,0.8658994983488074,0.04596551090130882,mod30,random_matched,0
0.75,224,0.20017873100983022,0.001955056000042532,0.8571428571428571,0.8544962335216573,0.01691561343035869,mod30,random_matched,0
0.7999999999999999,239,0.21358355674709562,0.0017559259999870847,0.8577405857740585,0.8544070512820513,0.022038505689105176,mod30,random_matched,0
0.85,254,0.22698838248436104,0.0022770330001549155,0.8543307086614174,0.8508830527668563,0.01635318373407077,mod30,random_matched,0
0.9,269,0.24039320822162646,0.0023587299999690003,0.8550185873605948,0.8495102434621256,0.03842384497576504,mod30,random_matched,0
0.95,284,0.2537980339588919,0.0021221439999408176,0.8556338028169014,0.8514773023475555,0.029994084255308445,mod30,random_matched,0
1.0,298,0.26630920464700625,0.0018702030001804815,0.8590604026845637,0.8536720651429486,0.04615818294138457,mod30,random_matched,0
0.05,15,0.013404825737265416,0.001855506000083551,0.9333333333333333,0.95,0.4157283288650581,mod30,random_matched,1
0.1,30,0.02680965147453083,0.0017447220000121888,0.9333333333333333,0.9330357142857143,0.3283288650580875,mod30,random_matched,1
0.15,45,0.040214477211796246,0.0016016939998735324,0.9111111111111111,0.9087121212121212,0.0401549002085195,mod30,random_matched,1
0.2,60,0.05361930294906166,0.0025582650000615104,0.8833333333333333,0.8940972222222222,0.08239499553172475,mod30,random_matched,1
0.25,75,0.06702412868632708,0.0020761539999512024,0.88,0.8873188405797101,0.09572832886505808,mod30,random_matched,1
0.3,90,0.08042895442359249,0.0017670189999989816,0.8777777777777778,0.8854166666666666,0.08239499553172475,mod30,random_matched,1
0.35,105,0.0938337801608579,0.0016877240000212623,0.8666666666666667,0.8710096656217347,0.07547555215115542,mod30,random_matched,1
0.39999999999999997,120,0.10723860589812333,0.0020718920000035723,0.8666666666666667,0.8700105042016807,0.08239499553172475,mod30,random_matched,1
0.44999999999999996,135,0.12064343163538874,0.0019084650000422698,0.8740740740740741,0.8724767801857585,0.07141296792771329,mod30,random_matched,1
0.49999999999999994,149,0.13315460232350312,0.0017541269999128417,0.87248322147651,0.8683531092067678,0.0461581829413846,mod30,random_matched,1
0.5499999999999999,164,0.14655942806076855,0.0017631429998345993,0.8719512195121951,0.8685155122655123,0.04123891104862795,mod30,random_matched,1
0.6,179,0.15996425379803395,0.0016271660001621058,0.8659217877094972,0.8632589997721576,0.03742367736556482,mod30,random_matched,1
0.65,194,0.17336907953529937,0.002293000999998185,0.865979381443299,0.863578015643097,0.051352920040905414,mod30,random_matched,1
0.7,209,0.1867739052725648,0.0018220340000425495,0.8708133971291866,0.8675865800865802,0.0505748895758773,mod30,random_matched,1
0.75,224,0.20017873100983022,0.0018509610001729015,0.875,0.8711763194408757,0.042009766373037105,mod30,random_matched,1
0.7999999999999999,239,0.21358355674709562,0.0017783000000690663,0.8828451882845189,0.8781635200499298,0.04368814056184353,mod30,random_matched,1
0.85,254,0.22698838248436104,0.0017904449998695782,0.8818897637795275,0.8764076977904489,0.04872882846748719,mod30,random_matched,1
0.9,269,0.24039320822162646,0.0018021849998604011,0.8884758364312267,0.8842610426296867,0.03833746939480612,mod30,random_matched,1
0.95,284,0.2537980339588919,0.0018301039999641944,0.8838028169014085,0.8803618549900014,0.05461994487029412,mod30,random_matched,1
1.0,298,0.26630920464700625,0.0021848530000170285,0.8791946308724832,0.8754939413828512,0.041527970203501435,mod30,random_matched,1
0.05,15,0.013404825737265416,0.002187411000022621,0.8666666666666667,0.8958333333333334,0.3878462913315461,mod30,random_matched,2
0.1,30,0.02680965147453083,0.0018968500000937638,0.9,0.9035714285714286,0.187846291331546,mod30,random_matched,2
0.15,45,0.040214477211796246,0.0016855719998147833,0.9111111111111111,0.895541958041958,0.1010425975573428,mod30,random_matched,2
0.2,60,0.05361930294906166,0.0016954100001385086,0.9,0.8885175282234106,0.10500446827524576,mod30,random_matched,2
0.25,75,0.06702412868632708,0.0016860040000210574,0.9066666666666666,0.8985576923076923,0.11167113494191244,mod30,random_matched,2
0.3,90,0.08042895442359249,0.0016408120000050985,0.8888888888888888,0.887062937062937,0.07316056002383076,mod30,random_matched,2
0.35,105,0.0938337801608579,0.0017460509998272755,0.8857142857142857,0.8910788923719959,0.17474786161113237,mod30,random_matched,2
