wheel,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
mod30,deterministic,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.002783402999966711
mod30,deterministic,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.002783402999966711
mod30,deterministic,-1,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9138332715362748,0.0017042160000073636
mod30,random_matched,0,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.0021108329999606212
mod30,random_matched,0,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.0021108329999606212
mod30,random_matched,0,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.8495102434621256,0.0023587299999690003
mod30,random_matched,1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.001855506000083551
mod30,random_matched,1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.001855506000083551
mod30,random_matched,1,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8683531092067678,0.0017541269999128417
mod30,random_matched,2,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8958333333333334,0.002187411000022621
mod30,random_matched,2,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.8958333333333334,0.002187411000022621
mod30,random_matched,2,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8599455839371365,0.0016974440000012692
mod30,random_matched,3,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.84375,0.0018232580000585585
mod30,random_matched,3,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.9295454545454546,0.0016305070000726118
mod30,random_matched,3,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.8487486471861472,0.0018013050000718067
mod30,random_matched,4,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8506410256410257,0.0016694389998974657
mod30,random_matched,4,target_99,target_0.99,0.8744910507620687,45,0.040214477211796246,0.8772727272727272,0.0017291350000050443
mod30,random_matched,4,stability,stable_w3_tol0.01,,90,0.08042895442359249,0.8762265512265512,0.00256418300000405
mod30,random_matched,5,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0018233499999951164
mod30,random_matched,5,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0018233499999951164
mod30,random_matched,5,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8857729840780688,0.00165992000006554
mod30,random_matched,6,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.001625393000040276
mod30,random_matched,6,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.001625393000040276
mod30,random_matched,6,stability,stable_w3_tol0.01,,239,0.21358355674709562,0.8790948752897867,0.001967089000117994
mod30,random_matched,7,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.001890880000019024
mod30,random_matched,7,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.001890880000019024
mod30,random_matched,7,stability,stable_w3_tol0.01,,75,0.06702412868632708,0.8748188405797102,0.0015756860000237793
mod30,random_matched,8,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016956580000169197
mod30,random_matched,8,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016956580000169197
mod30,random_matched,8,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.8873584494773519,0.001572216000113258
mod30,random_matched,9,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9,0.0016409560000738566
mod30,random_matched,9,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9,0.0016409560000738566
mod30,random_matched,9,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.8728365384615384,0.0016328000001522014
mod30,random_matched,10,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.9033882783882784,0.0015450789999249537
mod30,random_matched,10,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.9033882783882784,0.0015450789999249537
mod30,random_matched,10,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9215277777777777,0.0015443740001046535
mod30,random_matched,11,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016675750000558764
mod30,random_matched,11,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016675750000558764
mod30,random_matched,11,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.8639317999074096,0.0016805919999569596
mod30,random_matched,12,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0016983009998057241
mod30,random_matched,12,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0016983009998057241
mod30,random_matched,12,stability,stable_w3_tol0.01,,284,0.2537980339588919,0.8615696724051891,0.0016654029998335318
mod30,random_matched,13,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.001648519000127635
mod30,random_matched,13,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.001648519000127635
mod30,random_matched,13,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.9167401960784314,0.0016843000000790198
mod30,random_matched,14,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.001664933000029123
mod30,random_matched,14,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.001664933000029123
mod30,random_matched,14,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.9223940031955797,0.0016053179999744316
mod30,random_matched,15,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0016325429999142216
mod30,random_matched,15,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0016325429999142216
mod30,random_matched,15,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.88763197586727,0.0016882449999684468
mod30,random_matched,16,target_95,target_0.95,0.8391580790141063,60,0.05361930294906166,0.8436480186480186,0.0015233409999382275
mod30,random_matched,16,target_99,target_0.99,0.8744910507620687,105,0.0938337801608579,0.8849747474747475,0.001562715000090975
mod30,random_matched,16,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.9052211443175299,0.0018073280000407976
mod30,random_matched,17,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0017043489999650774
mod30,random_matched,17,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0017043489999650774
mod30,random_matched,17,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8786687631027253,0.0015534199999365228
mod30,random_matched,18,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8541666666666666,0.001621369999838862
mod30,random_matched,18,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.8973214285714286,0.0016864169999735168
mod30,random_matched,18,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8953285992759678,0.001619671000071321
mod30,random_matched,19,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0016895520000161923
mod30,random_matched,19,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0016895520000161923
mod30,random_matched,19,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8994444444444444,0.0016257520001090597
mod30,random_matched,20,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0017704300000787043
mod30,random_matched,20,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0017704300000787043
mod30,random_matched,20,stability,stable_w3_tol0.01_not_reached,,298,0.26630920464700625,0.8874098223884093,0.0018358880001869693
mod30,random_matched,21,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9,0.0016974259999642527
mod30,random_matched,21,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9,0.0016974259999642527
mod30,random_matched,21,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8660875809565326,0.0016594819999227184
mod30,random_matched,22,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9583333333333334,0.0017307200000686862
mod30,random_matched,22,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9583333333333334,0.0017307200000686862
mod30,random_matched,22,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.9151116984776475,0.0019061719999626803
mod30,random_matched,23,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0017309049999312265
mod30,random_matched,23,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0017309049999312265
mod30,random_matched,23,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.913774052744641,0.001612922000049366
mod30,random_matched,24,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0016145229999438016
mod30,random_matched,24,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0016145229999438016
mod30,random_matched,24,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.8673691871427064,0.001682176000031177
mod30,random_matched,25,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8651515151515151,0.0015559850000954611
mod30,random_matched,25,target_99,target_0.99,0.8744910507620687,149,0.13315460232350312,0.8791160593792172,0.0015817299999980605
mod30,random_matched,25,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8824953164726349,0.0015920499999992899
mod30,random_matched,26,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8875,0.001746854999964853
mod30,random_matched,26,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.8875,0.001746854999964853
mod30,random_matched,26,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.8740633423180593,0.001679623999962132
mod30,random_matched,27,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0017945370000234107
mod30,random_matched,27,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0017945370000234107
mod30,random_matched,27,stability,stable_w3_tol0.01,,239,0.21358355674709562,0.8880744886719728,0.0016852010001002782
mod30,random_matched,28,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8948412698412699,0.0016298059999826364
mod30,random_matched,28,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.8948412698412699,0.0016298059999826364
mod30,random_matched,28,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.8727873109726731,0.0016597459998592967
mod30,random_matched,29,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8541666666666666,0.001702074999911929
mod30,random_matched,29,target_99,target_0.99_not_reached,0.8744910507620687,298,0.26630920464700625,0.8660509197004549,0.0017034599998169142
mod30,random_matched,29,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.849724337270237,0.002610237999988385
mod210,deterministic,-1,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9375,0.002032102999919516
mod210,deterministic,-1,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9375,0.002032102999919516
mod210,deterministic,-1,stability,stable_w3_tol0.01,,167,0.14924039320822163,0.933008658008658,0.0016441380000742356
mod210,random_matched,0,target_95,target_0.95,0.8391580790141063,39,0.03485254691689008,0.8741830065359477,0.0015444850000676524
mod210,random_matched,0,target_99,target_0.99,0.8744910507620687,52,0.04647006255585344,0.8939393939393939,0.001577729000018735
mod210,random_matched,0,stability,stable_w3_tol0.01,,180,0.16085790884718498,0.895056173251662,0.0016544330001124763
mod210,random_matched,1,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.95,0.0018098130001362733
mod210,random_matched,1,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.95,0.0018098130001362733
mod210,random_matched,1,stability,stable_w3_tol0.01,,167,0.14924039320822163,0.8744209635167082,0.0017447729999275907
mod210,random_matched,2,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,1.0,0.0027421570000569773
mod210,random_matched,2,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,1.0,0.0027421570000569773
mod210,random_matched,2,stability,stable_w3_tol0.01,,180,0.16085790884718498,0.8979500891265596,0.0017113359999711975
mod210,random_matched,3,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9166666666666666,0.0016468930000428372
mod210,random_matched,3,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9166666666666666,0.0016468930000428372
mod210,random_matched,3,stability,stable_w3_tol0.01,,154,0.13762287756925826,0.8718945528156055,0.0016343469999355875
mod210,random_matched,4,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9583333333333334,0.0017136779999873397
mod210,random_matched,4,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9583333333333334,0.0017136779999873397
mod210,random_matched,4,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.8678466694595728,0.0016304939999827184
mod210,random_matched,5,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,1.0,0.0022893500001828215
mod210,random_matched,5,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,1.0,0.0022893500001828215
mod210,random_matched,5,stability,stable_w3_tol0.01,,128,0.11438784629133154,0.8866319444444445,0.0015616639998370374
mod210,random_matched,6,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.8875,0.0025772760000108974
mod210,random_matched,6,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.8875,0.0025772760000108974
mod210,random_matched,6,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.8573044644838508,0.0027042760000313137
mod210,random_matched,7,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,1.0,0.0044338860000152636
mod210,random_matched,7,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,1.0,0.0044338860000152636
mod210,random_matched,7,stability,stable_w3_tol0.01,,77,0.06881143878462913,0.9029761904761905,0.003731740999910471
mod210,random_matched,8,target_95,target_0.95,0.8391580790141063,26,0.02323503127792672,0.8976190476190476,0.002989742999943701
mod210,random_matched,8,target_99,target_0.99,0.8744910507620687,26,0.02323503127792672,0.8976190476190476,0.002989742999943701
mod210,random_matched,8,stability,stable_w3_tol0.01,,167,0.14924039320822163,0.9202418495781123,0.002844687999868256
mod210,random_matched,9,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9375,0.0029080710000926047
mod210,random_matched,9,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9375,0.0029080710000926047
mod210,random_matched,9,stability,stable_w3_tol0.01,,116,0.10366398570151922,0.9258333333333333,0.0026286970000910514
mod210,random_matched,10,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,1.0,0.0030376219999652676
mod210,random_matched,10,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,1.0,0.0030376219999652676
mod210,random_matched,10,stability,stable_w3_tol0.01,,154,0.13762287756925826,0.9119349622009196,0.0025916689999121445
mod210,random_matched,11,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9375,0.0032442439999158523
mod210,random_matched,11,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9375,0.0032442439999158523
mod210,random_matched,11,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.8665922619047619,0.0027663969999593974
mod210,random_matched,12,target_95,target_0.95,0.8391580790141063,90,0.08042895442359249,0.8406862745098039,0.002537884000048507
mod210,random_matched,12,target_99,target_0.99_not_reached,0.8744910507620687,256,0.2287756925826631,0.8630126915338183,0.0025124979999873176
mod210,random_matched,12,stability,stable_w3_tol0.01,,128,0.11438784629133154,0.8422405372405373,0.0026172719999522087
mod210,random_matched,13,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9166666666666666,0.0024051550001331634
mod210,random_matched,13,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9166666666666666,0.0024051550001331634
mod210,random_matched,13,stability,stable_w3_tol0.01,,154,0.13762287756925826,0.8572136197136196,0.002301969999962239
mod210,random_matched,14,target_95,target_0.95,0.8391580790141063,26,0.02323503127792672,0.8625,0.002396826999984114
mod210,random_matched,14,target_99,target_0.99,0.8744910507620687,52,0.04647006255585344,0.898800505050505,0.0029791780000323342
mod210,random_matched,14,stability,stable_w3_tol0.01,,103,0.09204647006255585,0.9209169653524492,0.002422367999997732
mod210,random_matched,15,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.875,0.0027081279999947583
mod210,random_matched,15,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.875,0.0027081279999947583
mod210,random_matched,15,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.8634255226480836,0.0023241520000283344
mod210,random_matched,16,target_95,target_0.95,0.8391580790141063,26,0.02323503127792672,0.8958333333333334,0.0023759819998758758
mod210,random_matched,16,target_99,target_0.99,0.8744910507620687,26,0.02323503127792672,0.8958333333333334,0.0023759819998758758
mod210,random_matched,16,stability,stable_w3_tol0.01,,205,0.18319928507596067,0.8870802612322564,0.002408674999969662
mod210,random_matched,17,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9166666666666666,0.002317514999958803
mod210,random_matched,17,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9166666666666666,0.002317514999958803
mod210,random_matched,17,stability,stable_w3_tol0.01,,77,0.06881143878462913,0.9427083333333334,0.0024133669999173435
mod210,random_matched,18,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.8809523809523809,0.0026516089999404358
mod210,random_matched,18,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.8809523809523809,0.0026516089999404358
mod210,random_matched,18,stability,stable_w3_tol0.01,,77,0.06881143878462913,0.8833732057416268,0.002400634999958129
mod210,random_matched,19,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9,0.0026104999999461143
mod210,random_matched,19,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9,0.0026104999999461143
mod210,random_matched,19,stability,stable_w3_tol0.01,,192,0.17158176943699732,0.8972571123940293,0.002439392000042062
mod210,random_matched,20,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,1.0,0.002542413000128363
mod210,random_matched,20,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,1.0,0.002542413000128363
mod210,random_matched,20,stability,stable_w3_tol0.01,,90,0.08042895442359249,0.9396135265700483,0.002710001999957967
mod210,random_matched,21,target_95,target_0.95,0.8391580790141063,90,0.08042895442359249,0.8413431013431013,0.004518561999930171
mod210,random_matched,21,target_99,target_0.99_not_reached,0.8744910507620687,256,0.2287756925826631,0.8718064469776798,0.0026098470000306406
mod210,random_matched,21,stability,stable_w3_tol0.01,,192,0.17158176943699732,0.8616448135198135,0.005428154000128416
mod210,random_matched,22,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.8392857142857143,0.002441567000005307
mod210,random_matched,22,target_99,target_0.99,0.8744910507620687,26,0.02323503127792672,0.9077380952380952,0.004571276999968177
mod210,random_matched,22,stability,stable_w3_tol0.01_not_reached,,256,0.2287756925826631,0.9049179732868757,0.003015468999819859
mod210,random_matched,23,target_95,target_0.95,0.8391580790141063,64,0.05719392314566577,0.8418269230769231,0.002264448000005359
mod210,random_matched,23,target_99,target_0.99_not_reached,0.8744910507620687,256,0.2287756925826631,0.8619526053215077,0.0024758930001098634
mod210,random_matched,23,stability,stable_w3_tol0.01,,116,0.10366398570151922,0.8307109557109558,0.002413680000017848
mod210,random_matched,24,target_95,target_0.95,0.8391580790141063,128,0.11438784629133154,0.8505342932929139,0.002244650999955411
mod210,random_matched,24,target_99,target_0.99_not_reached,0.8744910507620687,256,0.2287756925826631,0.8739979705733131,0.0025053490001027967
mod210,random_matched,24,stability,stable_w3_tol0.01,,167,0.14924039320822163,0.8580788343706276,0.0024356100000204606
mod210,random_matched,25,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9,0.0023939830000472284
mod210,random_matched,25,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9,0.0023939830000472284
mod210,random_matched,25,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.8774319826739182,0.0024032619999161398
mod210,random_matched,26,target_95,target_0.95,0.8391580790141063,26,0.02323503127792672,0.8819444444444444,0.0022689850000006118
mod210,random_matched,26,target_99,target_0.99,0.8744910507620687,26,0.02323503127792672,0.8819444444444444,0.0022689850000006118
mod210,random_matched,26,stability,stable_w3_tol0.01,,116,0.10366398570151922,0.8912483912483913,0.0022755800000595627
mod210,random_matched,27,target_95,target_0.95,0.8391580790141063,64,0.05719392314566577,0.8501984126984127,0.0021371670000007725
mod210,random_matched,27,target_99,target_0.99,0.8744910507620687,154,0.13762287756925826,0.8779449237889135,0.002310137999984363
mod210,random_matched,27,stability,stable_w3_tol0.01,,128,0.11438784629133154,0.8550397877984084,0.0023411520000991004
mod210,random_matched,28,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.9166666666666666,0.002911209999865605
mod210,random_matched,28,target_99,target_0.99,0.8744910507620687,13,0.01161751563896336,0.9166666666666666,0.002911209999865605
mod210,random_matched,28,stability,stable_w3_tol0.01,,154,0.13762287756925826,0.8937552213868003,0.002444262999915736
mod210,random_matched,29,target_95,target_0.95,0.8391580790141063,13,0.01161751563896336,0.8541666666666666,0.004469107999966582
mod210,random_matched,29,target_99,target_0.99,0.8744910507620687,39,0.03485254691689008,0.8973214285714286,0.0023356199999398086
mod210,random_matched,29,stability,stable_w3_tol0.01,,141,0.1260053619302949,0.9117576628352491,0.004386840999814012
mod2310,deterministic,-1,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.9166666666666666,0.0027443040000889596
mod2310,deterministic,-1,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.9166666666666666,0.0027443040000889596
mod2310,deterministic,-1,stability,stable_w3_tol0.01,,94,0.0840035746201966,0.9066673740803622,0.0044625619998441834
