schedule_name,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
confidence_adaptive,adaptive_low_confidence,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0024653009999155984
confidence_adaptive,adaptive_low_confidence,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0024653009999155984
confidence_adaptive,adaptive_low_confidence,-1,stability,stable_w3_tol0.01_not_reached,,298,0.26630920464700625,0.6214545635696166,0.0026487060000590645
high_confidence_first,adaptive_high_confidence,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0018687850000560502
high_confidence_first,adaptive_high_confidence,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0018687850000560502
high_confidence_first,adaptive_high_confidence,-1,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.9736842105263158,0.002041197000039574
mod30,deterministic,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.004618135999976403
mod30,deterministic,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.004618135999976403
mod30,deterministic,-1,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9138332715362748,0.0019524399999681918
random_matched,random_matched,0,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0018053580000696456
random_matched,random_matched,0,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0018053580000696456
random_matched,random_matched,0,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8864261932460774,0.0018889939999553462
random_matched,random_matched,1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016239640000321742
random_matched,random_matched,1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016239640000321742
random_matched,random_matched,1,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9247549019607842,0.0018032450000191602
random_matched,random_matched,2,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8809523809523809,0.0018830249999837179
random_matched,random_matched,2,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.8809523809523809,0.0018830249999837179
random_matched,random_matched,2,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.8357554600787683,0.001971664000052442
random_matched,random_matched,3,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016486740000800637
random_matched,random_matched,3,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016486740000800637
random_matched,random_matched,3,stability,stable_w3_tol0.01,,90,0.08042895442359249,0.9232348111658456,0.0018392580000181624
random_matched,random_matched,4,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0018332999999302046
random_matched,random_matched,4,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0018332999999302046
random_matched,random_matched,4,stability,stable_w3_tol0.01,,284,0.2537980339588919,0.92265625,0.0024109549999593582
random_matched,random_matched,5,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.002170175000060226
random_matched,random_matched,5,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.002170175000060226
random_matched,random_matched,5,stability,stable_w3_tol0.01,,90,0.08042895442359249,0.9351851851851851,0.003293835000022227
random_matched,random_matched,6,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8958333333333334,0.0018261860000166052
random_matched,random_matched,6,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.8958333333333334,0.0018261860000166052
random_matched,random_matched,6,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9015767597361526,0.0017903210000440595
random_matched,random_matched,7,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8541666666666666,0.001569091999954253
random_matched,random_matched,7,target_99,target_0.99,0.8744910507620687,209,0.1867739052725648,0.8748043515651874,0.001941017000035572
random_matched,random_matched,7,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.869974684325893,0.0019865470000013374
random_matched,random_matched,8,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0017468009999674905
random_matched,random_matched,8,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0017468009999674905
random_matched,random_matched,8,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9246379838485101,0.0019084609999708846
random_matched,random_matched,9,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0019287540000050285
random_matched,random_matched,9,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0019287540000050285
random_matched,random_matched,9,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.9121428571428571,0.00197086399998625
